SampleID,PCRp_conc ,Sample_type,environment,Genus,Species,Sex,Instar,Primary_ blood_meal,Diet,Country,State,Location,Nest,Sampling_date,Coordinates_North,Cooredinated_West
2CH08A,51,Triatoma,No,Triatoma,gerstaeckeri,ND,2,ND,blood,US,TX,Chaparral,N1,14.07.2017,N28.312719,W99.444114
2CH48A,53,Triatoma,No,Triatoma,gerstaeckeri,ND,1,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH49G,38,Triatoma,No,Triatoma,gerstaeckeri,ND,5,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
411I5,44,Triatoma,No,Triatoma,gerstaeckeri,ND,5,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
413I5,49,Triatoma,No,Triatoma,gerstaeckeri,ND,5,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41I6F,50,Triatoma,No,Triatoma,gerstaeckeri,F,6,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41I6M,42,Triatoma,No,Triatoma,gerstaeckeri,M,6,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
2CH06G,24,Triatoma,No,Triatoma,lecticularia,ND,3,ND,blood,US,TX,Chaparral,N1,17.07.2017,N28.312719,W99.444114
2CH07,60,Triatoma,No,Triatoma,lecticularia,ND,3,Neotoma,blood,US,TX,Chaparral,N1,14.07.2017,N28.312719,W99.444114
2CH28,20,Triatoma,No,Triatoma,lecticularia,M,6,Peromyscus,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH39,41,Triatoma,No,Triatoma,lecticularia,ND,5,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH4,6,Triatoma,No,Triatoma,lecticularia,M,6,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH41G,50,Triatoma,No,Triatoma,lecticularia,ND,4,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH42,42,Triatoma,No,Triatoma,lecticularia,ND,4,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH43G,48,Triatoma,No,Triatoma,lecticularia,ND,4,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH44G,40,Triatoma,No,Triatoma,lecticularia,ND,4,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH45G,26,Triatoma,No,Triatoma,lecticularia,ND,3,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH46A,34,Triatoma,No,Triatoma,lecticularia,ND,2,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH51G,44,Triatoma,No,Triatoma,lecticularia,ND,5,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
DS15i3A,39,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
41TMTi2,16,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41TMTi3,18,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41TMTi4,17,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41TMTi5,23,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41TMTi6,22,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41TMTi7,9,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41TMTi8,16,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41TMTi9,11,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
A2AS3A,25,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,GA,GANF,L2,22.06.2021,ND,ND
A2AS3B,48,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,GA,GANF,L2,22.06.2021,ND,ND
A2AS3C,38,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,GA,GANF,L2,22.06.2021,ND,ND
AS6165A,35,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,FL,Gainesville,N2,08.07.2021,N29.6214278,W82.29786
AS6165B,19,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,FL,Gainesville,N2,08.07.2021,N29.6214278,W82.29786
AS6165C,30,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,FL,Gainesville,N2,08.07.2021,N29.6214278,W82.29786
AS6165D,20,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,FL,Gainesville,N2,08.07.2021,N29.6214278,W82.29786
AS6165E,24,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,FL,Gainesville,N2,08.07.2021,N29.6214278,W82.29786
AS6165F,24,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,FL,Gainesville,N2,08.07.2021,N29.6214278,W82.29786
AS6165G,20,assassin,No,Ploiaria ,hirticornis,ND,ND,ND,hemolymph,US,FL,Gainesville,N2,08.07.2021,N32.25393,W111.09175
Blank2,5,negative,No,blankExtraction,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Blank21,4,negative,No,blankExtraction,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CH2T1,30,Tick,No,Ornithodoros,turicata,ND,2_3,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2T10,20,Tick,No,Ornithodoros,turicata,ND,1_2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2T11,27,Tick,No,Ornithodoros,turicata,ND,1_2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2T12,47,Tick,No,Ornithodoros,turicata,ND,2_3,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2T4,56,Tick,No,Ornithodoros,turicata,ND,3_4,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2T5,47,Tick,No,Ornithodoros,turicata,ND,3_4,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2T7,41,Tick,No,Ornithodoros,turicata,ND,2_3,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2T8,52,Tick,No,Ornithodoros,turicata,ND,3_4,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2T9,33,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2TD13,28,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2TD14,31,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2TD15,43,Tick,No,Ornithodoros,turicata,ND,1_2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2TD19,36,Tick,No,Ornithodoros,turicata,ND,1_2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2TD20,45,Tick,No,Ornithodoros,turicata,ND,2_3,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2TD21,51,Tick,No,Ornithodoros,turicata,ND,2_3,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2TD22,27,Tick,No,Ornithodoros,turicata,ND,1_2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
CH2TD23,33,Tick,No,Ornithodoros,turicata,ND,1_2,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
DS15i3B,33,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15i3C,33,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15i4A,34,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15i4B,51,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15i6,43,Triatoma,No,Triatoma,protracta,M,6,Neotoma,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS16i2B,41,Triatoma,No,Triatoma,protracta,ND,ND,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS15Ti1,47,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15Ti2,61,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15Ti3,56,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15Ti4,61,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15Ti5,32,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15Ti6,39,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15Ti7,52,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS15Ti8,43,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N15,06.07.2019,N32.25393,W111.09175
DS16i5,49,Triatoma,No,Triatoma,protracta,ND,5,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16i5A,55,Triatoma,No,Triatoma,protracta,ND,5,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16i5B,51,Triatoma,No,Triatoma,protracta,ND,5,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16i6F,74,Triatoma,No,Triatoma,protracta,ND,1,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16i6M,66,Triatoma,No,Triatoma,protracta,M,6,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS18M3A,43,Triatoma,No,Triatoma,protracta,ND,2,Neotoma,blood,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS7I3A,44,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7I3B,43,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7I3C,27,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7I3D,54,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS16Ti1,17,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti10,17,Tick,No,Ornithodoros,turicata,ND,3,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti11,33,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti12,36,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti2,19,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti3,38,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti4,38,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti5,26,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti6,28,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16Ti7,25,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS18AS3A,37,assassin,No,Stenolemoides ,arizonensis,ND,ND,ND,hemolymph,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS18AS3B,29,assassin,No,Stenolemoides ,arizonensis,ND,ND,ND,hemolymph,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS18AS3C,29,assassin,No,Stenolemoides ,arizonensis,ND,ND,ND,hemolymph,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS7M17A,31,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7M17B,33,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7M17D,36,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7M17E,40,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
LC34i5A1,38,Triatoma,No,Triatoma,protracta,ND,5,Neotoma,blood,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
DS18Ti1,23,Tick,No,Ornithodoros,turicata,ND,ND,ND,blood,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS18Ti2,32,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS18Ti3,44,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS7AS2A,21,assassin,No, Reduvius,sonoraensis,ND,3,ND,hemolymph,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7AS2B,23,assassin,No, Reduvius,sonoraensis,ND,3,ND,hemolymph,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
LC35i5A3,33,Triatoma,No,Triatoma,protracta,ND,5,Neotoma,blood,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC36i4A1,45,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
TU31i6A2,15,Triatoma,No,Triatoma,protracta,F,6,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU32i6A2,20,Triatoma,No,Triatoma,protracta,F,6,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU33i6A1,14,Triatoma,No,Triatoma,protracta,M,6,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU35i5A1,26,Triatoma,No,Triatoma,protracta,ND,1,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU43i2A1,29,Triatoma,No,Triatoma,protracta,ND,2,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU49i4A2,40,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU49i4B1,50,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU50i3A3,26,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
DS7T3Ti1,21,Tick,No,Ornithodoros,turicata,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7T3Ti2,19,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7T3Ti3,14,Tick,No,Ornithodoros,turicata,ND,2,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
TU50i3C3,32,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU52i6A3,15,Triatoma,No,Triatoma,protracta,F,6,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU53i6A0,27,Triatoma,No,Triatoma,protracta,F,6,ND,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU54i4B2,67,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU56i3C3,52,Triatoma,No,Triatoma,protracta,F,3,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
LC1A,22,assassin,No,Reduvius,sp.,ND,5,ND,hemolymph,US,AZ,LCNCA,N5,05.07.2018,N31.76432,W110.62289
LC2A,25,assassin,No,Reduvius,sp.,ND,5,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC2B,28,assassin,No,Reduvius,sp.,ND,4,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC2C,37,assassin,No,Reduvius,sp.,ND,4,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC2D,38,assassin,No,Reduvius,sp.,ND,3,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC2E,31,assassin,No,Reduvius,sp.,ND,2,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
